年份,队伍名称,球员姓名,总进球数,普通进球,点球,位置,国家,球衣号
2018,利物浦,马内,22,22,0,前锋,塞内加尔,17号
2018,利物浦,萨拉赫,22,19,3,前锋,埃及,11号
2018,阿森纳,奥巴梅扬,22,18,4,前锋,加蓬,10号
2018,曼城,阿圭罗,21,19,2,前锋,阿根廷,10号
2018,热刺,凯恩,18,14,4,前锋,英国,9号
2018,莱斯特城,瓦尔迪,18,14,4,前锋,英国,9号
2018,曼城,斯特林,17,17,0,前锋,英国,7号
2018,切尔西,阿扎尔,16,12,4,前锋,比利时,7号
2018,伯恩茅斯,威尔逊,14,13,1,前锋,英国,9号
2018,阿森纳,拉卡泽特,13,13,0,前锋,法国,10号
2018,埃弗顿,理查利森,13,13,0,前锋,巴西,9号
2018,狼队,劳尔-吉梅内斯,13,11,2,前锋,墨西哥,9号
2018,埃弗顿,西古德松,13,11,2,中场,冰岛,10号
2018,伯恩利,巴恩斯,13,11,2,前锋,英国,10号
2018,布莱顿,格伦-穆雷,13,9,4,前锋,英国,25号
2018,曼联,博格巴,13,6,7,中场,法国,10号
2018,热刺,孙兴民,12,12,0,前锋,韩国,7号
2018,纽卡斯尔,佩雷斯,12,12,0,前锋,西班牙,10号
2018,曼联,卢卡库,12,12,0,前锋,比利时,90号
2018,利物浦,菲尔米诺,12,11,1,前锋,巴西,9号
2018,伯恩茅斯,约书亚金,12,7,5,前锋,挪威,7号
2018,水晶宫,米利沃耶维奇,12,2,10,中场,塞尔维亚,4号
2018,纽卡斯尔,隆东,11,11,0,前锋,委内瑞拉,33号
2018,富勒姆,米特洛维奇,11,10,1,前锋,塞尔维亚,9号
2018,曼城,萨内,10,10,0,前锋,德国,10号
2018,曼联,拉什福德,10,10,0,前锋,英国,10号
2018,沃特福德,德乌洛费乌,10,10,0,前锋,西班牙,10号
2018,水晶宫,扎哈,10,10,0,前锋,科特迪瓦,11号
2018,伯恩利,伍德,10,10,0,前锋,新西兰,11号
2018,热刺,小卢卡斯,10,10,0,前锋,巴西,27号
2018,西汉姆联,阿诺托维奇,10,9,1,前锋,奥地利,8号
2018,曼联,马夏尔,10,9,1,前锋,法国,9号
2018,狼队,若塔,9,9,0,前锋,葡萄牙,20号
2018,西汉姆联,F-安德森,9,9,0,中场,巴西,7号
2018,沃特福德,迪尼,9,8,1,前锋,英国,36号
2018,热刺,埃里克森,8,8,0,中场,丹麦,14号
2018,切尔西,佩德罗,8,8,0,前锋,西班牙,9号
2018,伯恩茅斯,弗拉泽,7,7,0,中场,苏格兰,21号
2018,曼城,贝尔纳多席尔瓦,7,7,0,中场,葡萄牙,20号
2018,伯恩茅斯,大卫-布鲁克斯,7,7,0,中场,威尔士,7号
2018,曼城,马赫雷斯,7,7,0,前锋,阿尔及利亚,26号
2018,沃特福德,格雷,7,7,0,前锋,牙买加,19号
2018,西汉姆联,埃尔南德斯,7,7,0,前锋,墨西哥,17号
2018,莱斯特城,詹姆斯-麦迪逊,7,6,1,中场,英国,10号
2018,曼城,热苏斯,7,6,1,前锋,巴西,9号
2018,南安普敦,沃特-普洛斯,7,6,1,中场,英国,8号
2018,南安普敦,英斯,7,4,3,前锋,英国,18号
2018,曼城,大卫-席尔瓦,6,6,0,中场,西班牙,21号
2018,阿森纳,梅希塔扬,6,6,0,中场,亚美尼亚,22号
2018,西汉姆联,安东尼奥,6,6,0,前锋,牙买加,9号
2019,莱斯特城,瓦尔迪,23,19,4,前锋,英国,9号
2019,南安普敦,英斯,22,21,1,前锋,英国,18号
2019,阿森纳,奥巴梅扬,22,20,2,前锋,加蓬,10号
2019,曼城,斯特林,20,20,0,前锋,英国,7号
2019,利物浦,萨拉赫,19,16,3,前锋,埃及,11号
2019,利物浦,马内,18,18,0,前锋,塞内加尔,17号
2019,热刺,凯恩,18,16,2,前锋,英国,9号
2019,曼联,马夏尔,17,17,0,前锋,法国,9号
2019,狼队,劳尔-吉梅内斯,17,13,4,前锋,墨西哥,9号
2019,曼联,拉什福德,17,11,6,前锋,英国,10号
